,bike_score,bike_score,elev_std,elev_std,time_log,time_log,time,time,asc,asc,density_dest,density_dest,density_orig,density_orig,hour_night,hour_night,hour_peak,hour_peak,sd_bool_weather_bad,sd_bool_weather_bad,sd_bool_weather_good,sd_bool_weather_good,sd_cat_age_14to18,sd_cat_age_14to18,sd_cat_age_19to25,sd_cat_age_19to25,sd_cat_age_51to65,sd_cat_age_51to65,sd_cat_age_66to75,sd_cat_age_66to75,sd_cat_age_76+,sd_cat_age_76+,sd_cat_age_7to13,sd_cat_age_7to13,sd_cat_education_basic,sd_cat_education_basic,sd_cat_education_higher,sd_cat_education_higher,sd_cat_education_phd,sd_cat_education_phd,sd_cat_education_uni,sd_cat_education_uni,sd_cat_income_12001to16000,sd_cat_income_12001to16000,sd_cat_income_16001+,sd_cat_income_16001+,sd_cat_income_4001to8000,sd_cat_income_4001to8000,sd_cat_income_leq4000,sd_cat_income_leq4000,sd_cat_sex_m,sd_cat_sex_m,speed_limit,speed_limit,asc_night,asc_night,asc_peak,asc_peak,sd_cat_hhtype_coupe_nokids,sd_cat_hhtype_coupe_nokids,sd_cat_hhtype_couple_kids,sd_cat_hhtype_couple_kids,sd_cat_hhtype_single_kids,sd_cat_hhtype_single_kids
,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p,value,p
car,,,,,-0.8331291533631511,***,-0.07313461011027139,***,-6.119968330309589,***,-0.6033492696520864,***,-0.614134982495757,***,,,,,,,,,-2.2497830417108515,***,-0.7426034480494825,***,0.11803813558829582,***,0.05226616069619842,,0.29306160890182614,***,-1.6866013842668683,***,-0.20452374369514192,***,-0.1359620379137714,***,-0.9193251385549772,***,-0.5810791555300937,***,-0.02582113472681238,,0.19270408454261767,***,-0.16441545236275754,***,-0.541170023756645,***,0.1722335178139959,***,0.26242875161892565,***,-0.24261676298261725,***,0.088369715289938,***,0.0785745020712068,***,0.26816819877366305,***,0.33666694317872126,***
rbike,1.0870813498143372,***,-2.4451036182591817,***,-2.323238186883247,***,-0.019902999646375374,***,-3.992963917171202,***,-0.5454868322909687,***,-0.24488972063583028,***,0.01734865117233277,,0.059289006432148385,***,-0.2551069742767078,***,0.1456423203003106,***,0.29722253372838886,***,-0.20824765514285626,***,0.11640596735142282,***,-0.42841759015837794,***,-0.9209068186676694,***,0.2186126556926069,***,-0.6075913981332817,***,0.23059335714617704,***,0.49965580936959664,***,0.501166179887608,***,-0.0405189048695711,,-0.049577543807059726,,-0.09831874257155855,***,-0.14630392389702826,***,0.23600954650277728,***,-0.9139257017825626,***,,,,,,,,,,
transit,0.11134197667959025,,1.508932250887731,***,-0.6409142735119762,***,-0.08059011989133882,***,-8.615314286119096,***,0.48560831597786047,***,0.4782403889205822,***,0.08863079421379558,***,0.16274470377710837,***,0.018379155859801932,,-0.024472589250524316,,0.6443973298623819,***,0.296521263967213,***,0.09329178747014236,***,0.06203055711143817,*,0.4123416343455798,***,0.1704375304284001,***,-0.02343171815494938,,-0.002257007337011654,,-0.23732598632321558,**,-0.028089252486455937,,-0.028876519385104604,,-0.13214545519016874,***,0.0011722458071577136,,0.11383951679358523,***,-0.16489307722706162,***,-0.13637778904212008,*,,,,,,,,,,
walk,0.3557047107020582,***,2.530126780543601,***,-3.257867496394106,***,-0.0015198953280504996,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
